URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA Dues,Lot Size,Garage Spaces,Floor Type,Heat Type,Cool Type,Tax Amount,Zip Code,Noise Level,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/315-N-9th-St-89101/home/29347388,84,61,62,Howard E Hollingsworth Elementary School,3,John C Fremont Middle School,5,Rancho High School,4,"315 N 9th St,Las Vegas,NV89101",429500,2,1,764,"$2,617 ",107 days,1931,"Residential, Single Family Residence",One Story,0,"6,970",0,"Ceramic Tile, Linoleum, Vinyl","Central, Electric","Central Air, Electric, Refrigerated",542,89101,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/309-N-9th-St-89101/home/29347389,90,61,61,Howard E Hollingsworth Elementary School,3,John C Fremont Middle School,5,Rancho High School,4,"309 N 9th St,Las Vegas,NV89101",429500,2,1,1796,"$2,614 ",107 days,1929,"Residential, Single Family Residence",One Story,0,"6,970",0,Hardwood,"Central, Electric","Central Air, Electric, Refrigerated",506,89101,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/329-Pershing-Dr-89107/home/29233099,36,38,35,Red Rock Elementary School,2,Frank F Garside Junior High School,3,Western High School,1,"329 Pershing Dr,Las Vegas,NV89107",349900,4,2,1492,"$2,165 ",112 days,1960,"Residential, Single Family Residence",One Story,0,"6,098",0,"Linoleum, Tile, Vinyl","Central, Gas","Central Air, Electric",837,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5128-Forrest-Hills-Ln-89108/home/29188510,60,44,52,J T McWilliams Elementary School,5,Robert O Gibson Middle School,4,Western High School,1,"5128 Forrest Hills Ln,Las Vegas,NV89108",357900,3,2,2270,"$2,234 ",114 days,1972,"Residential, Single Family Residence",One Story,0,"6,098",1,"Carpet, Tile","Central, Gas","Central Air, Electric",1092,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1336-N-Jones-Blvd-89108/home/29184091,63,42,63,Paul E Culley Elementary School,4,Robert O Gibson Middle School,4,Western High School,1,"1336 N Jones Blvd,Las Vegas,NV89108",217900,3,1.5,986,"$1,489 ",114 days,1971,"Residential, Townhouse",Two Story,$135 ,871,0,"Carpet, Tile","Central, Gas","Central Air, Electric",597,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2021-San-Simeon-St-89108/home/29173281,59,41,52,Bertha Ronzone Elementary School,3,J Harold Brinley Middle School,2,Cimarron Memorial High School,3,"2021 San Simeon St,Las Vegas,NV89108",314900,2,2,1098,"$1,920 ",116 days,1979,"Residential, Single Family Residence",One Story,0,"3,485",1,"Carpet, Tile","Central, Gas","Central Air, Electric",410,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/100-Casa-Grande-Dr-89108/home/28964880,44,44,44,Twin Lakes Elementary School,4,J Harold Brinley Middle School,2,Western High School,1,"100 Casa Grande Dr,Las Vegas,NV89108",499900,3,2,1981,"$3,148 ",117 days,1956,"Residential, Single Family Residence",One Story,0,45738,2,"Carpet, Linoleum, Vinyl","Central, Electric","Central Air, Electric",1859,89108,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1710-Shadow-Mountain-Pl-89108/home/29176292,45,43,51,J T McWilliams Elementary School,5,Robert O Gibson Middle School,4,Western High School,1,"1710 Shadow Mountain Pl,Las Vegas,NV89108",509900,4,4,3045,"$3,132 ",122 days,1968,"Residential, Single Family Residence",One Story,0,10890,0,Carpet,"Central, Electric","Central Air, Electric",951,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5709-Goldmount-Ave-89107/home/29187057,56,40,44,Red Rock Elementary School,2,Robert O Gibson Middle School,4,Western High School,1,"5709 Goldmount Ave,Las Vegas,NV89107",314900,3,2,1585,"$2,183 ",124 days,1983,"Residential, Townhouse",One Story,$210 ,"3,485",2,Carpet,"Central, Gas","Central Air, Electric",1051,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3601-Valley-Forge-Ave-89110/home/29384224,44,39,59,Cc Ronnow Elementary School,4,Mario C & Joanne Monaco Middle School,3,Desert Pines High School,1,"3601 Valley Forge Ave,Las Vegas,NV89110",349900,3,2,1512,"$2,169 ",128 days,1977,"Residential, Single Family Residence",One Story,0,"6,098",0,"Carpet, Tile","Central, Electric","Central Air, Electric",884,89110,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/316-Lacy-Ln-89107/home/29345252,27,37,35,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"316 Lacy Ln,Las Vegas,NV89107",899900,4,5.5,5280,"$5,769 ",133 days,1977,"Residential, Single Family Residence",Two Story,0,20473,4,,"Central, Gas, High Efficiency, Multiple Heating Units, Zoned","Central Air, Electric, 2 Units",4565,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/321-Bent-Creek-Dr-89107/home/29225745,54,36,46,O. K. Adcock Elementary School,4,Frank F Garside Junior High School,3,Bonanza High School,3,"321 Bent Creek Dr,Las Vegas,NV89107",409900,3,3,1893,"$2,585 ",142 days,1983,"Residential, Single Family Residence",Two Story,0,"6,970",3,Carpet,"Central, Gas","Central Air, Electric",1567,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6021-Vista-Clara-St-89148/home/113713481,42,39,42,Kathy L. Batterman Elementary School,8,Victoria Fertitta Middle School,8,Durango High School,2,"6021 Vista Clara St,Las Vegas,NV89148",824900,3,3.5,3250,"$5,564 ",23 days,2017,"Residential, Single Family Residence",One Story,$100 ,"6,970",3,Hardwood,"Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",6296,89148,Medium,Moderate,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4592-Laguna-Vista-St-89147/home/29559562,19,41,34,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Durango High School,2,"4592 Laguna Vista St,Las Vegas,NV89147",785000,4,4,3668,"$5,161 ",23 days,1998,"Residential, Single Family Residence",Two Story,$177 ,"10,454",3,"Carpet, Laminate, Linoleum, Vinyl","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",3398,89147,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1275-Westwind-Rd-89146/home/29516655,74,41,53,Doris Hancock Elementary School,3,Hyde Park Middle School,7,Bonanza High School,3,"1275 Westwind Rd,Las Vegas,NV89146",499888,4,4,2443,"$3,104 ",23 days,1964,"Residential, Single Family Residence",One Story,0,27443,2,Tile,"Central, Gas","Central Air, Electric",1331,89146,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2304-Llewellyn-Dr-89102/home/29460139,57,38,50,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"2304 Llewellyn Dr,Las Vegas,NV89102",625000,4,2.5,2404,"$3,880 ",23 days,1962,"Residential, Single Family Residence",One Story,0,13068,2,"Carpet, Tile","Central, Electric","Central Air, Electric",1647,89102,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5110-Vincitor-St-89135/home/28989516,4,0,30,,,Victoria Fertitta Middle School,8,Durango High School,2,"5110 Vincitor St,Las Vegas,NV89135",644000,2,2.5,2100,"$4,393 ",23 days,2004,"Residential, Single Family Residence",One Story,$275 ,"6,534",2,"Ceramic Tile, Tile","Central, Gas","Central Air, Electric",3142,89135,Medium,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2592-Chantemar-St-89135/home/29587624,38,34,38,d'Vorre & Hall Ober Elementary School,7,Victoria Fertitta Middle School,8,Palo Verde High School,6,"2592 Chantemar St,Las Vegas,NV89135",488000,3,2,1143,"$3,169 ",23 days,2001,"Residential, Single Family Residence",One Story,$57 ,"4,792",2,Laminate,"Central, Gas","Central Air, Electric",2275,89135,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4968-Stampa-Ave-89146/home/29540115,65,39,54,Dr. C Owen Roundy Elementary School,4,Kenny C Guinn Middle School,5,Education W Clark High School,3,"4968 Stampa Ave,Las Vegas,NV89146",675000,3,2,1651,"$4,108 ",23 days,1964,"Residential, Single Family Residence",One Story,0,10890,2,"Carpet, Hardwood","Central, Gas","Central Air, Electric",799,89146,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10342-Kesington-Dr-89135/home/143191437,5,24,22,Shelley Berkley Elementary School,6,Wilbur & Theresa Faiss Middle School,6,Sierra Vista High School,2,"10342 Kesington Dr,Las Vegas,NV89135",934900,5,4.5,3105,"$6,288 ",23 days,2017,"Residential, Single Family Residence",Two Story,$161 ,"5,663",2,Luxury Vinyl Plank,"Central, Gas, High Efficiency","Central Air, Electric, High Efficiency",6349,89135,Medium,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4487-White-Gate-Ln-89147/home/29557603,47,39,38,,,Victoria Fertitta Middle School,8,Durango High School,2,"4487 White Gate Ln,Las Vegas,NV89147",485000,3,3,2447,"$3,088 ",23 days,1999,"Residential, Single Family Residence",Two Story,0,"5,663",2,"Carpet, Tile","Central, Gas","Central Air, Electric, 2 Units",2208,89147,Medium,Moderate,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/11122-Glen-Garden-Ct-89135/home/29886139,21,32,30,Judy & John L Goolsby Elementary School,9,Victoria Fertitta Middle School,8,Palo Verde High School,6,"11122 Glen Garden Ct,Las Vegas,NV89135",825000,3,3,2455,"$5,256 ",23 days,2001,"Residential, Single Family Residence",One Story,$57 ,10890,2,"Carpet, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",3107,89135,Medium,Minimal,Major,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2117-Plaza-del-Fuentes-89102/home/29459197,62,38,52,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"2117 Plaza Del Fuentes,Las Vegas,NV89102",609000,4,3,2629,"$4,142 ",23 days,1976,"Residential, Single Family Residence",Two Story,$340 ,"4,356",2,"Ceramic Tile, Luxury Vinyl Plank","Central, Electric, High Efficiency, Multiple Heating Units, Zoned","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency, 2 Units",1870,89102,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3961-Argent-Star-Ct-89147/home/29553524,74,40,54,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3961 Argent Star Ct,Las Vegas,NV89147",674999,5,3,3017,"$4,290 ",13 days,1997,"Residential, Single Family Residence",Two Story,0,"6,970",3,"Carpet, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric",2982,89147,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1705-British-Cup-Dr-89117/home/29527566,36,34,38,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"1705 British Cup Dr,Las Vegas,NV89117",395000,2,2,1259,"$2,668 ",14 days,1990,"Residential, Single Family Residence",One Story,$99 ,"4,792",2,"Carpet, Laminate, Tile","Central, Gas","Central Air, Electric",2449,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3733-Riano-Cir-89103/home/29543870,60,43,47,C H Decker Elementary School,4,Kenny C Guinn Middle School,5,Durango High School,2,"3733 Riano Cir,Las Vegas,NV89103",520000,4,2.5,2349,"$3,279 ",14 days,1977,"Residential, Single Family Residence",Two Story,0,"6,970",2,"Carpet, Laminate, Tile","Gas, Multiple Heating Units","Central Air, Electric",1982,89103,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10045-Cambridge-Blue-Ave-89147/home/29554968,51,36,52,Keith C & Karen W Hayes Elementary School,6,Victoria Fertitta Middle School,8,Spring Valley High School,5,"10045 Cambridge Blue Ave,Las Vegas,NV89147",385500,3,2.5,1507,"$2,451 ",15 days,1998,"Residential, Single Family Residence",Two Story,0,"3,920",2,"Carpet, Tile","Central, Gas","Central Air, Electric",1710,89147,Medium,Minimal,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8022-Shellstone-Ave-89117/home/29536678,27,34,37,Herbert A Derfelt Elementary School,5,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"8022 Shellstone Ave,Las Vegas,NV89117",499999,4,3,2376,"$3,250 ",15 days,1999,"Residential, Single Family Residence",Two Story,$28 ,"5,227",2,"Carpet, Ceramic Tile, Tile","Central, Gas","Central Air, Electric",2738,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2705-Cherry-Springs-Ct-89117/home/29531021,66,37,49,M J Christensen Elementary School,7,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"2705 Cherry Springs Ct,Las Vegas,NV89117",538000,4,3,2148,"$3,466 ",16 days,1987,"Residential, Single Family Residence",Two Story,$22 ,"4,792",2,Ceramic Tile,"Central, Gas","Central Air, Electric",2674,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3831-Tropical-Vine-St-89147/home/29828684,39,40,50,Keith C & Karen W Hayes Elementary School,6,Victoria Fertitta Middle School,8,Spring Valley High School,5,"3831 Tropical Vine St,Las Vegas,NV89147",799000,4,3.5,3283,"$5,380 ",16 days,2000,"Residential, Single Family Residence",Two Story,$235 ,23522,3,"Carpet, Tile","Central, Gas","Central Air, Electric",4330,89147,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8729-Arizona-Poppy-Ave-89117/home/29285427,59,38,49,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"8729 Arizona Poppy Ave,Las Vegas,NV89117",490000,3,2.5,1829,"$3,131 ",16 days,2006,"Residential, Single Family Residence",Two Story,$55 ,"3,485",2,"Carpet, Tile","Central, Gas, High Efficiency","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency",1702,89117,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3144-Centavo-Dr-89117/home/29533518,66,38,58,M J Christensen Elementary School,7,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3144 Centavo Dr,Las Vegas,NV89117",384999,3,2.5,1555,"$2,442 ",16 days,1987,"Residential, Single Family Residence",Two Story,$20 ,"3,485",2,"Carpet, Tile","Central, Gas","Central Air, Electric",1405,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3768-Bacolod-Ct-89147/home/29553918,71,42,47,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3768 Bacolod Ct,Las Vegas,NV89147",438000,3,2.5,1633,"$2,772 ",18 days,1995,"Residential, Single Family Residence",Two Story,0,"4,356",2,"Carpet, Linoleum, Vinyl","Central, Gas","Central Air, Electric",1795,89147,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9812-Via-Delores-Ave-89117/home/29524102,64,34,46,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"9812 Via Delores Ave,Las Vegas,NV89117",479880,3,3,1851,"$3,157 ",18 days,1998,"Residential, Single Family Residence",Two Story,$88 ,"4,356",2,"Carpet, Tile","Central, Gas","Central Air, Electric",2346,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/657-Chase-Tree-St-89144/home/29114605,53,32,32,John W Bonner Elementary School,9,Sig Rogich Middle School,8,Palo Verde High School,6,"657 Chase Tree St,Las Vegas,NV89144",500000,3,2.5,1564,"$3,387 ",18 days,2001,"Residential, Single Family Residence",Two Story,$186 ,"3,485",2,"Carpet, Luxury Vinyl Plank","Central, Gas","Central Air, Electric",2487,89144,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10609-Foggy-Glen-Ave-89135/home/29935313,46,36,34,d'Vorre & Hall Ober Elementary School,7,Sig Rogich Middle School,8,Palo Verde High School,6,"10609 Foggy Glen Ave,Las Vegas,NV89135",458000,2,2,975,"$2,966 ",19 days,2003,"Residential, Single Family Residence",One Story,$57 ,"3,485",1,Laminate,"Central, Gas","Central Air, Electric",2000,89135,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5234-Monterey-Park-Cir-89146/home/28978214,46,38,44,Dr. C Owen Roundy Elementary School,4,Kenny C Guinn Middle School,5,Education W Clark High School,3,"5234 Monterey Park Cir,Las Vegas,NV89146",384500,3,2.5,1636,"$2,669 ",20 days,2003,"Residential, Single Family Residence",Two Story,$150 ,"3,049",2,"Carpet, Concrete, Linoleum, Vinyl","Central, Gas","Central Air, Electric",2606,89146,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10009-Mahogany-Grove-Ln-89117/home/29527906,28,36,38,d'Vorre & Hall Ober Elementary School,7,Victoria Fertitta Middle School,8,Bonanza High School,3,"10009 Mahogany Grove Ln,Las Vegas,NV89117",577000,4,5,2363,"$3,717 ",20 days,1988,"Residential, Single Family Residence",Two Story,$31 ,"6,970",3,"Carpet, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",2767,89117,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8445-Mulcahy-Ave-89145/home/29214430,42,41,41,Walter Jacobson Elementary School,5,Walter Johnson Junior High School,7,Bonanza High School,3,"8445 Mulcahy Ave,Las Vegas,NV89145",387980,4,2.5,1980,"$2,440 ",20 days,1985,"Residential, Single Family Residence",Two Story,0,"4,356",0,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric",1401,89145,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2691-Wind-Spinner-St-89135/home/29587887,52,33,34,d'Vorre & Hall Ober Elementary School,7,Victoria Fertitta Middle School,8,Palo Verde High School,6,"2691 Wind Spinner St,Las Vegas,NV89135",439900,3,2,1143,"$2,839 ",21 days,1999,"Residential, Single Family Residence",One Story,$57 ,"4,792",2,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric",1779,89135,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2716-Grafton-Ct-89117/home/29528345,23,35,35,d'Vorre & Hall Ober Elementary School,7,Victoria Fertitta Middle School,8,Bonanza High School,3,"2716 Grafton Ct,Las Vegas,NV89117",796800,6,3,2951,"$5,033 ",21 days,1988,"Residential, Single Family Residence",Two Story,$22 ,"6,098",3,"Carpet, Luxury Vinyl Plank","Central, Gas","Central Air, Electric, 2 Units",2881,89117,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7176-Summer-Grove-Ave-89117/home/52629111,40,38,48,R Guild Gray Elementary School,4,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"7176 Summer Grove Ave,Las Vegas,NV89117",689500,4,3.5,3122,"$4,616 ",21 days,2013,"Residential, Single Family Residence",Two Story,$88 ,"5,227",3,"Carpet, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",4798,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3837-Amber-Flower-Ct-89147/home/29550177,45,41,42,Roger M Bryan Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3837 Amber Flower Ct,Las Vegas,NV89147",629999,5,3,2578,"$3,968 ",22 days,1997,"Residential, Single Family Residence",Two Story,0,"6,534",3,"Laminate, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric",2346,89147,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6118-Meadow-Vista-Ln-89103/home/29544527,81,41,50,R Guild Gray Elementary School,4,Kenny C Guinn Middle School,5,Durango High School,2,"6118 Meadow Vista Ln,Las Vegas,NV89103",285000,3,2,1242,"$2,024 ",22 days,1975,"Residential, Townhouse",Two Story,$252 ,"1,742",0,"Laminate, Tile","Central, Gas","Central Air, Electric",788,89103,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/212-Bradshaw-Way-89145/home/29219647,68,33,41,Walter Jacobson Elementary School,5,Walter Johnson Junior High School,7,Bonanza High School,3,"212 Bradshaw Way,Las Vegas,NV89145",397900,3,2,1620,"$2,656 ",22 days,1979,"Residential, Single Family Residence",One Story,0,"7,841",2,"Carpet, Concrete","Central, Gas","Central Air, Electric",3277,89145,Medium,Moderate,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1413-Bryn-Mawr-Ave-89102/home/29457854,57,36,50,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"1413 Bryn Mawr Ave,Las Vegas,NV89102",494900,3,3,2286,"$3,103 ",22 days,1962,"Residential, Single Family Residence",One Story,0,12197,3,Carpet,"Central, Gas","Central Air, Electric",1677,89102,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10423-Ness-Wood-Ln-89135/home/29872404,34,33,44,Judy & John L Goolsby Elementary School,9,Victoria Fertitta Middle School,8,Spring Valley High School,5,"10423 Ness Wood Ln,Las Vegas,NV89135",840000,4,3,2349,"$5,499 ",22 days,2001,"Residential, Single Family Residence",One Story,$125 ,"6,970",3,"Carpet, Luxury Vinyl Plank","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",4127,89135,Medium,Minimal,Major,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3549-Casa-Real-Way-89147/home/29551854,71,40,55,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3549 Casa Real Way,Las Vegas,NV89147",355000,3,2,1209,"$2,446 ",26 days,1994,"Residential, Townhouse",Two Story,$220 ,"2,614",1,"Carpet, Luxury Vinyl Plank","Central, Electric","Central Air, Electric",1202,89147,Medium,Minimal,Minimal,Severe,Minimal
