URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Year Built,Property Type,HOA Dues,Lot Size,Garage Spaces,Has Pool,Has Patio,Flood Factor,Fire Factor,Heat Factor,Wind Factor,Full Address,Zipcode
https://www.redfin.com/NV/Las-Vegas/1934-Capistrano-Ave-89169/home/29469316,38,41,40,5,5,1,"1934 Capistrano Ave,Las Vegas,NV89169","$273,000 ",4,2,"1,431",1963,Single Family Residential,$0 ,"7,405",0,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,1934 Capistrano Ave,89169
https://www.redfin.com/NV/Las-Vegas/2740-San-Lago-Ct-89121/home/29473256,42,43,69,4,3,1,"2740 San Lago Ct,Las Vegas,NV89121","$425,000 ",3,3,"2,118",1979,Townhouse,$315 ,"3,049",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,2740 San Lago Ct,89121
https://www.redfin.com/NV/Las-Vegas/3571-Calvert-Ct-89121/home/29475269,44,42,53,4,2,2,"3571 Calvert Ct,Las Vegas,NV89121","$295,000 ",2,2,"1,294",1977,Townhouse,$195 ,"3,920",2,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,3571 Calvert Ct,89121
https://www.redfin.com/NV/Las-Vegas/1655-Commanche-Dr-89169/home/29476887,59,45,45,2,3,1,"1655 Commanche Dr,Las Vegas,NV89169","$367,000 ",3,2,"1,344",1963,Single Family Residential,$0 ,"8,276",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,1655 Commanche Dr,89169
https://www.redfin.com/NV/Las-Vegas/6124-Tokara-Ave-89122/home/29480874,1,14,35,2,4,2,"6124 Tokara Ave,Las Vegas,NV89122","$300,000 ",3,2,"1,234",2008,Single Family Residential,$115 ,"4,356",2,TRUE,TRUE,Minimal,Moderate,Severe,Minimal,6124 Tokara Ave,89122
https://www.redfin.com/NV/Las-Vegas/4746-Via-San-Andros-89103/home/29502067,77,44,54,4,4,3,"4746 Via San Andros,Las Vegas,NV89103","$280,000 ",3,2,"1,036",1978,Townhouse,$0 ,"3,920",1,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,4746 Via San Andros,89103
https://www.redfin.com/NV/Las-Vegas/4673-Via-Torino-89103/home/29502315,81,42,53,4,4,3,"4673 Via Torino,Las Vegas,NV89103","$298,000 ",3,2,"1,192",1979,Single Family Residential,$0 ,"4,792",1,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,4673 Via Torino,89103
https://www.redfin.com/NV/Las-Vegas/4339-Spencer-St-89119/unit-8/home/29504555,59,48,58,3,3,3,"4339 Spencer St #8,Las Vegas,NV89119","$270,000 ",3,1.5,"1,220",1978,Townhouse,$89 ,"2,756",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,4339 Spencer St #8,89119
https://www.redfin.com/NV/Las-Vegas/3083-Van-Buskirk-Cir-89121/home/29508090,45,41,53,7,2,3,"3083 Van Buskirk Cir,Las Vegas,NV89121","$397,000 ",3,2.5,"2,254",1979,Single Family Residential,$0 ,"7,841",2,TRUE,FALSE,Major,Minimal,Severe,Minimal,3083 Van Buskirk Cir,89121
https://www.redfin.com/NV/Las-Vegas/5405-Mountain-View-Dr-89146/home/29517000,64,41,51,3,7,3,"5405 Mountain View Dr,Las Vegas,NV89146","$335,000 ",3,2,"1,758",1964,Single Family Residential,$0 ,"6,534",0,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,5405 Mountain View Dr,89146
https://www.redfin.com/NV/Las-Vegas/5228-Del-Rey-Ave-89146/home/29517335,76,41,52,3,7,3,"5228 Del Rey Ave,Las Vegas,NV89146","$273,500 ",3,2,"1,314",1961,Single Family Residential,$0 ,"7,841",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,5228 Del Rey Ave,89146
https://www.redfin.com/NV/Las-Vegas/5401-Del-Rey-Ave-89146/home/29517447,70,42,51,3,7,3,"5401 Del Rey Ave,Las Vegas,NV89146","$425,000 ",4,2,"2,270",1964,Single Family Residential,$0 ,"6,098",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,5401 Del Rey Ave,89146
https://www.redfin.com/NV/Las-Vegas/8217-Gillette-St-89117/home/29521745,41,34,36,5,7,3,"8217 Gillette St,Las Vegas,NV89117","$550,000 ",3,2,"1,888",1997,Single Family Residential,$0 ,"7,841",3,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,8217 Gillette St,89117
https://www.redfin.com/NV/Las-Vegas/8817-Borla-Dr-89117/home/29523704,72,41,57,7,7,3,"8817 Borla Dr,Las Vegas,NV89117","$336,000 ",3,2.5,"1,467",1983,Townhouse,$0 ,"5,227",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,8817 Borla Dr,89117
https://www.redfin.com/NV/Las-Vegas/10001-Pinnacle-Pass-Dr-89117/home/29525532,63,33,41,7,7,3,"10001 Pinnacle Pass Dr,Las Vegas,NV89117","$670,000 ",4,3.5,"2,982",1998,Single Family Residential,$99 ,"6,970",3,TRUE,TRUE,Minimal,Minor,Severe,Minimal,10001 Pinnacle Pass Dr,89117
https://www.redfin.com/NV/Las-Vegas/2740-Monrovia-Dr-89117/home/29528387,40,36,37,7,8,3,"2740 Monrovia Dr,Las Vegas,NV89117","$555,000 ",3,3,"2,663",1989,Single Family Residential,$31 ,"6,970",3,FALSE,TRUE,Minimal,Minor,Severe,Minimal,2740 Monrovia Dr,89117
https://www.redfin.com/NV/Las-Vegas/9733-Fern-Canyon-Ave-89117/home/29528900,22,37,36,7,5,3,"9733 Fern Canyon Ave,Las Vegas,NV89117","$416,000 ",4,3,"1,991",1989,Single Family Residential,$31 ,"3,920",2,FALSE,TRUE,Minimal,Minor,Severe,Minimal,9733 Fern Canyon Ave,89117
https://www.redfin.com/NV/Las-Vegas/3220-Beacon-Shores-Cir-89117/home/29530099,53,38,46,7,5,3,"3220 Beacon Shores Cir,Las Vegas,NV89117","$420,000 ",3,2,"1,237",1987,Single Family Residential,$23 ,"5,663",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,3220 Beacon Shores Cir,89117
https://www.redfin.com/NV/Las-Vegas/3304-Paragon-Dr-89117/home/29534664,73,37,54,7,5,5,"3304 Paragon Dr,Las Vegas,NV89117","$365,000 ",2,2,"1,101",1988,Single Family Residential,$24 ,"3,920",2,FALSE,TRUE,Minimal,Minor,Severe,Minimal,3304 Paragon Dr,89117
https://www.redfin.com/NV/Las-Vegas/3309-Mariner-Bay-St-89117/home/29534751,55,38,49,7,5,5,"3309 Mariner Bay St,Las Vegas,NV89117","$386,000 ",3,2,"1,257",1986,Single Family Residential,$72 ,"4,356",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,3309 Mariner Bay St,89117
https://www.redfin.com/NV/Las-Vegas/7355-Edna-Ave-89117/home/29536948,29,36,47,4,5,5,"7355 Edna Ave,Las Vegas,NV89117","$750,000 ",4,2,"2,587",1979,Single Family Residential,$0 ,23522,3,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,7355 Edna Ave,89117
https://www.redfin.com/NV/Las-Vegas/2845-Montessouri-St-89117/home/29537098,40,37,54,4,5,5,"2845 Montessouri St,Las Vegas,NV89117","$720,000 ",5,3.5,"3,194",1976,Single Family Residential,$0 ,20473,2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,2845 Montessouri St,89117
https://www.redfin.com/NV/Las-Vegas/5865-Edna-Ave-89146/home/29539015,50,39,43,3,5,3,"5865 Edna Ave,Las Vegas,NV89146","$1,200,000 ",4,3,"4,258",1961,Single Family Residential,$0 ,25265,0,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,5865 Edna Ave,89146
https://www.redfin.com/NV/Las-Vegas/5735-Eldora-Ave-89146/home/29539071,48,39,42,4,5,3,"5735 Eldora Ave,Las Vegas,NV89146","$400,000 ",3,2,"1,604",1978,Single Family Residential,$0 ,26136,1,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,5735 Eldora Ave,89146
https://www.redfin.com/NV/Las-Vegas/3236-Lindell-Rd-89146/home/29539945,72,40,51,3,5,3,"3236 Lindell Rd,Las Vegas,NV89146","$415,000 ",3,2,"1,548",1979,Single Family Residential,$0 ,"6,970",3,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,3236 Lindell Rd,89146
https://www.redfin.com/NV/Las-Vegas/5085-Via-de-Palma-Dr-89146/home/29540064,66,39,56,4,5,3,"5085 Via De Palma Dr,Las Vegas,NV89146","$462,500 ",4,2,"2,025",1964,Single Family Residential,$0 ,"6,534",0,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,5085 Via De Palma Dr,89146
https://www.redfin.com/NV/Las-Vegas/3955-Glory-Ct-89103/home/29541009,64,41,50,4,5,3,"3955 Glory Ct,Las Vegas,NV89103","$578,000 ",4,3,"2,282",1980,Single Family Residential,$0 ,"8,276",3,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,3955 Glory Ct,89103
https://www.redfin.com/NV/Las-Vegas/3669-Redwood-St-89103/home/29543387,69,43,46,4,5,2,"3669 Redwood St,Las Vegas,NV89103","$415,000 ",4,2,"1,622",1974,Single Family Residential,$0 ,"7,841",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,3669 Redwood St,89103
https://www.redfin.com/NV/Las-Vegas/9342-W-Viking-Rd-89147/home/29552869,72,41,57,6,5,5,"9342 W Viking Rd,Las Vegas,NV89147","$388,000 ",3,2,"1,291",1998,Single Family Residential,$0 ,"4,356",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,9342 W Viking Rd,89147
https://www.redfin.com/NV/Las-Vegas/9222-Snow-Flower-Ave-89147/home/29553034,65,42,53,6,5,5,"9222 Snow Flower Ave,Las Vegas,NV89147","$500,000 ",3,2,"1,832",1997,Single Family Residential,$0 ,"6,970",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,9222 Snow Flower Ave,89147
https://www.redfin.com/NV/Las-Vegas/8965-Pomona-Ct-89147/home/29553637,57,42,44,6,5,5,"8965 Pomona Ct,Las Vegas,NV89147","$505,000 ",4,2.5,"2,350",1995,Single Family Residential,$0 ,"6,098",3,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,8965 Pomona Ct,89147
https://www.redfin.com/NV/Las-Vegas/3826-Windansea-St-89147/home/29553931,71,43,47,6,5,5,"3826 Windansea St,Las Vegas,NV89147","$620,000 ",3,2,"2,234",1994,Single Family Residential,$45 ,"10,454",3,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,3826 Windansea St,89147
https://www.redfin.com/NV/Las-Vegas/10090-Diving-Duck-Ave-89117/home/29554864,49,33,49,6,8,5,"10090 Diving Duck Ave,Las Vegas,NV89117","$531,000 ",4,3,"2,445",1998,Single Family Residential,$0 ,"5,663",3,FALSE,TRUE,Minimal,Moderate,Severe,Minimal,10090 Diving Duck Ave,89117
https://www.redfin.com/NV/Las-Vegas/9740-Pine-Thickett-Ave-89147/home/29556165,55,38,56,6,8,5,"9740 Pine Thickett Ave,Las Vegas,NV89147","$547,500 ",5,3,"2,194",1996,Single Family Residential,$0 ,"6,098",2,FALSE,TRUE,Minimal,Minor,Severe,Minimal,9740 Pine Thickett Ave,89147
https://www.redfin.com/NV/Las-Vegas/9652-Camino-Capistrano-Ln-89147/home/29556938,59,40,56,6,8,5,"9652 Camino Capistrano Ln,Las Vegas,NV89147","$500,000 ",2,2,"2,335",1998,Single Family Residential,$235 ,"8,712",3,FALSE,TRUE,Minimal,Minor,Severe,Minimal,9652 Camino Capistrano Ln,89147
https://www.redfin.com/NV/Las-Vegas/4210-Night-Star-St-89147/home/29557864,56,40,41,6,5,5,"4210 Night Star St,Las Vegas,NV89147","$579,900 ",4,2,"2,106",1998,Single Family Residential,$0 ,"10,454",3,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,4210 Night Star St,89147
https://www.redfin.com/NV/Las-Vegas/7924-Laurena-Ave-89147/home/29563294,54,36,45,6,5,5,"7924 Laurena Ave,Las Vegas,NV89147","$319,500 ",2,2.5,"1,287",1996,Townhouse,$92 ,"2,178",1,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,7924 Laurena Ave,89147
https://www.redfin.com/NV/Las-Vegas/7653-Gallant-Cir-89147/home/29564426,55,35,43,5,5,5,"7653 Gallant Cir,Las Vegas,NV89147","$425,000 ",3,2,"1,300",1985,Single Family Residential,$17 ,"6,098",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,7653 Gallant Cir,89147
https://www.redfin.com/NV/Las-Vegas/4436-Sandcastle-Dr-89147/home/29565476,37,37,42,5,5,5,"4436 Sandcastle Dr,Las Vegas,NV89147","$451,000 ",4,3,"1,832",1985,Single Family Residential,$0 ,"5,663",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,4436 Sandcastle Dr,89147
https://www.redfin.com/NV/Las-Vegas/4447-Fernbrook-Rd-89103/home/29569196,58,39,47,6,5,2,"4447 Fernbrook Rd,Las Vegas,NV89103","$420,000 ",3,2,"1,420",1973,Single Family Residential,$0 ,"6,534",2,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,4447 Fernbrook Rd,89103
https://www.redfin.com/NV/Las-Vegas/3676-Asbury-Hill-Ave-89110/home/29599148,56,39,53,5,4,1,"3676 Asbury Hill Ave,Las Vegas,NV89110","$390,000 ",3,2.5,"2,098",2008,Single Family Residential,$0 ,"3,485",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,3676 Asbury Hill Ave,89110
https://www.redfin.com/NV/Las-Vegas/1773-Molly-Meadows-St-89115/home/29781213,49,41,60,5,3,1,"1773 Molly Meadows St,Las Vegas,NV89115","$307,000 ",3,2.5,"1,376",2008,Single Family Residential,$54 ,"2,614",1,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,1773 Molly Meadows St,89115
https://www.redfin.com/NV/Las-Vegas/5509-Raven-Creek-Ave-89130/home/29844845,26,25,37,4,5,5,"5509 Raven Creek Ave,Las Vegas,NV89130","$360,000 ",3,2,"1,368",2001,Single Family Residential,$75 ,"5,663",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,5509 Raven Creek Ave,89130
https://www.redfin.com/NV/Las-Vegas/3350-Eagle-Bend-St-89122/home/29848672,17,35,35,2,4,2,"3350 Eagle Bend St,Las Vegas,NV89122","$360,000 ",3,2,"1,436",2001,Single Family Residential,$155 ,"6,534",2,TRUE,TRUE,Minimal,Minor,Severe,Minimal,3350 Eagle Bend St,89122
https://www.redfin.com/NV/Las-Vegas/7431-Mystic-Stream-St-89131/home/29856043,17,29,26,7,7,5,"7431 Mystic Stream St,Las Vegas,NV89131","$660,000 ",4,3.5,"3,045",2000,Single Family Residential,$106 ,14810,2,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,7431 Mystic Stream St,89131
https://www.redfin.com/NV/Las-Vegas/6728-Alpine-Brooks-Ave-89130/home/29857376,27,32,36,6,5,5,"6728 Alpine Brooks Ave,Las Vegas,NV89130","$699,900 ",3,2.5,"2,810",2001,Single Family Residential,$90 ,12632,3,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,6728 Alpine Brooks Ave,89130
https://www.redfin.com/NV/Las-Vegas/932-Coatbridge-St-89145/home/29859037,54,41,50,9,8,6,"932 Coatbridge St,Las Vegas,NV89145","$395,000 ",2,2.5,"1,598",2002,Townhouse,$304 ,"2,178",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,932 Coatbridge St,89145
https://www.redfin.com/NV/Las-Vegas/4355-Micahs-Canyon-Ct-89129/home/29859368,2,0,23,6,5,5,"4355 Micahs Canyon Ct,Las Vegas,NV89129","$895,000 ",4,3.5,"3,046",2001,Single Family Residential,$222 ,18731,3,TRUE,TRUE,Minimal,Minor,Severe,Minimal,4355 Micahs Canyon Ct,89129
https://www.redfin.com/NV/Las-Vegas/1165-Warm-Sun-Ct-89110/home/29863548,10,27,29,4,3,1,"1165 Warm Sun Ct,Las Vegas,NV89110","$370,000 ",3,2,"1,406",2001,Single Family Residential,$0 ,"5,663",2,FALSE,TRUE,Minimal,Moderate,Severe,Minimal,1165 Warm Sun Ct,89110
https://www.redfin.com/NV/Las-Vegas/8436-Cobble-Village-Ct-89117/home/29866630,54,38,48,5,5,5,"8436 Cobble Village Ct,Las Vegas,NV89117","$456,000 ",4,3,"2,547",2002,Single Family Residential,$28 ,"5,663",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,8436 Cobble Village Ct,89117
https://www.redfin.com/NV/Las-Vegas/1110-Azure-Heights-Pl-89110/home/29895034,5,19,30,4,3,1,"1110 Azure Heights Pl,Las Vegas,NV89110","$442,000 ",3,2,"1,975",2002,Single Family Residential,$14 ,"9,583",2,FALSE,FALSE,Minimal,Major,Severe,Minimal,1110 Azure Heights Pl,89110
https://www.redfin.com/NV/Las-Vegas/3224-Monaco-Shores-Dr-89117/home/29895806,35,35,44,5,5,5,"3224 Monaco Shores Dr,Las Vegas,NV89117","$427,000 ",3,2,"1,602",2002,Single Family Residential,$28 ,"4,792",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,3224 Monaco Shores Dr,89117
https://www.redfin.com/NV/Las-Vegas/5001-River-Splash-Ave-89131/home/29908858,1,30,26,8,5,5,"5001 River Splash Ave,Las Vegas,NV89131","$388,000 ",3,2,"1,413",2002,Single Family Residential,$80 ,"5,663",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,5001 River Splash Ave,89131
https://www.redfin.com/NV/Las-Vegas/7734-Morning-Lake-Dr-89131/home/29915915,5,30,27,8,5,5,"7734 Morning Lake Dr,Las Vegas,NV89131","$380,000 ",3,2,"1,242",2002,Single Family Residential,$90 ,"5,663",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,7734 Morning Lake Dr,89131
https://www.redfin.com/NV/Las-Vegas/4928-Wild-Buffalo-Ave-89131/home/29927866,17,30,30,8,5,5,"4928 Wild Buffalo Ave,Las Vegas,NV89131","$365,000 ",3,2,"1,256",2003,Single Family Residential,$49 ,"4,792",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,4928 Wild Buffalo Ave,89131
https://www.redfin.com/NV/Las-Vegas/5025-Hostetler-Ave-89131/home/29928010,25,27,34,8,5,5,"5025 Hostetler Ave,Las Vegas,NV89131","$405,000 ",3,2.5,"1,913",2003,Single Family Residential,$45 ,"3,920",2,FALSE,FALSE,Minimal,Minor,Severe,Minimal,5025 Hostetler Ave,89131
https://www.redfin.com/NV/Las-Vegas/7817-Orchard-Port-Ave-89131/home/29949084,6,30,27,8,5,5,"7817 Orchard Port Ave,Las Vegas,NV89131","$530,000 ",3,2,"1,891",2003,Single Family Residential,$180 ,"6,970",3,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,7817 Orchard Port Ave,89131
https://www.redfin.com/NV/Las-Vegas/3968-Jazzy-Ginger-Ct-89129/home/29955574,31,28,31,5,3,3,"3968 Jazzy Ginger Ct,Las Vegas,NV89129","$365,000 ",3,2.5,"1,725",2004,Single Family Residential,$25 ,"4,792",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,3968 Jazzy Ginger Ct,89129
https://www.redfin.com/NV/Las-Vegas/9261-Spiderlily-Ct-89149/home/35626223,12,29,26,7,3,5,"9261 Spiderlily Ct,Las Vegas,NV89149","$360,000 ",3,2,"1,235",2010,Townhouse,$75 ,"3,049",2,FALSE,TRUE,Minimal,Moderate,Severe,Minimal,9261 Spiderlily Ct,89149
https://www.redfin.com/NV/Las-Vegas/3672-Asbury-Hill-Ave-89110/home/40233601,56,39,53,5,4,1,"3672 Asbury Hill Ave,Las Vegas,NV89110","$349,900 ",3,2.5,"2,098",2011,Single Family Residential,$0 ,"3,920",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,3672 Asbury Hill Ave,89110
https://www.redfin.com/NV/Las-Vegas/9112-Picturesque-Ave-89149/home/52619985,31,32,37,7,3,5,"9112 Picturesque Ave,Las Vegas,NV89149","$310,000 ",2,2.5,"1,244",2013,Single Family Residential,$160 ,"1,742",1,TRUE,TRUE,Minimal,Moderate,Severe,Minimal,9112 Picturesque Ave,89149
https://www.redfin.com/NV/Las-Vegas/4123-Ivy-Russell-Way-89115/home/55222186,52,40,42,5,3,1,"4123 Ivy Russell Way,Las Vegas,NV89115","$352,000 ",4,2.5,"1,714",2015,Single Family Residential,$66 ,"2,614",2,FALSE,TRUE,Moderate,Minimal,Severe,Minimal,4123 Ivy Russell Way,89115
https://www.redfin.com/NV/Las-Vegas/2833-Rough-Green-St-89117/home/65558607,47,39,46,5,5,5,"2833 Rough Green St,Las Vegas,NV89117","$488,000 ",3,2.5,"1,841",2014,Single Family Residential,$78 ,"3,485",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,2833 Rough Green St,89117
https://www.redfin.com/NV/Las-Vegas/9936-Coyote-Echo-Ct-89166/home/109871169,19,29,26,8,3,5,"9936 Coyote Echo Ct,Las Vegas,NV89166","$555,000 ",4,3,"2,794",2017,Single Family Residential,$138 ,"4,356",2,TRUE,TRUE,Minimal,Moderate,Severe,Minimal,9936 Coyote Echo Ct,89166
