URL,Apartment Name,Apartment Address,ZIP Code,Price,Sqft,Beds,Baths,Property Type,Year Built
https://www.realtor.com/rentals/details/5845-Parrot-Cove-Ct_Las-Vegas_NV_89139_M22495-25683,5845 Parrot Cove Court Las Vegas NV,"5845 Parrot Cove Ct, Las Vegas, NV 89139",89139,"1,759/mo","1,531",3,2,Single family,2004
https://www.realtor.com/rentals/details/3045-S-Maryland-Pkwy_Las-Vegas_NV_89109_M22429-16708,Furnished Studio - Las Vegas - Midtown,"3045 S Maryland Pkwy, Las Vegas, NV 89109",89109,"1,650/mo",300,Studio,1,Apartment,
https://www.realtor.com/rentals/details/8081-Celina-Hills-St_Las-Vegas_NV_89131_M17014-73075,8081 Celina Hills Street Las Vegas NV,"8081 Celina Hills St, Las Vegas, NV 89131",89131,"2,099/mo","1,669",3,2,Single family,2005
https://www.realtor.com/rentals/details/2111-Seattle-Shore-St_Las-Vegas_NV_89115_M22963-34794,2111 Seattle Shore Street Las Vegas NV,"2111 Seattle Shore St, Las Vegas, NV 89115",89115,"1,799/mo","1,309",3,2,Single family,2004
https://www.realtor.com/rentals/details/1501-Rock-Springs-Dr_Las-Vegas_NV_89128_M28195-60852,Radiance at Rock Springs,"1501 Rock Springs Dr, Las Vegas, NV 89128",89128,"1,457",543,Studio,1,Apartment,
https://www.realtor.com/rentals/details/4480-Meadows-Ln_Las-Vegas_NV_89107_M94890-47175,The Apex @Meadows,"4480 Meadows Ln, Las Vegas, NV 89107",89107,"1,515",639,Studio,1,Apartment,
https://www.realtor.com/rentals/details/4588-Coral-Silk-Ct_Las-Vegas_NV_89110_M16977-95822,4588 Coral Silk Court Las Vegas NV,"4588 Coral Silk Ct, Las Vegas, NV 89110",89110,"1,839/mo","1,245",3,2,Single family,1984
https://www.realtor.com/rentals/details/1721-Crystal-Ann-Ave_Las-Vegas_NV_89106_M16836-74476,Habitat @ DTLV,"1721 Crystal Ann Ave, Las Vegas, NV 89106",89106,"1,950","1,295",2,2.5,Single family,
https://www.realtor.com/rentals/details/2733-Desert-Stream-Ct_Las-Vegas_NV_89156_M10532-92719,2733 Desert Stream Court Las Vegas NV,"2733 Desert Stream Ct, Las Vegas, NV 89156",89156,"2,289/mo","2,284",4,3,Single family,1995
https://www.realtor.com/rentals/details/544-Brinkburn-Point-Ave_Las-Vegas_NV_89178_M29926-06588,544 Brinkburn Point Avenue Las Vegas NV,"544 Brinkburn Point Ave, Las Vegas, NV 89178",89178,"1,799/mo","1,301",3,2,Single family,2007
https://www.realtor.com/rentals/details/6602-Trout-Peak-Way_Las-Vegas_NV_89156_M29849-09689,6602 Trout Peak Way Las Vegas NV,"6602 Trout Peak Way, Las Vegas, NV 89156",89156,"2,029/mo","1,359",3,2,Single family,1997
https://www.realtor.com/rentals/details/5253-Aurora-Beam-Ave_Las-Vegas_NV_89122_M26155-35261,5253 Aurora Beam Avenue Las Vegas NV,"5253 Aurora Beam Ave, Las Vegas, NV 89122",89122,"1,799/mo","1,374",3,2,Single family,2008
https://www.realtor.com/rentals/details/6664-Black-Oil-Dr_Las-Vegas_NV_89122_M11498-44924,6664 Black Oil Drive Las Vegas NV,"6664 Black Oil Dr, Las Vegas, NV 89122",89122,"2,049/mo","1,540",3,2,Single family,2002
https://www.realtor.com/rentals/details/1230-Lindell-Rd-A1_Las-Vegas_NV_89146_M94148-41328,1230 W Lindell Rd Unit A1,"1230 W Lindell Rd Unit A1, Las Vegas, NV 89146",89146,"1,750/mo","1,550",2,2,Apartment,2022
https://www.realtor.com/rentals/details/1230-Lindell-Rd-B1_Las-Vegas_NV_89146_M95262-82738,1230 W Lindell Rd Unit B1,"1230 W Lindell Rd Unit B1, Las Vegas, NV 89146",89146,"2,260/mo","1,550",2,2,Apartment,2022
https://www.realtor.com/rentals/details/1230-Lindell-Rd-B2_Las-Vegas_NV_89146_M94707-47726,1230 W Lindell Rd Unit B2,"1230 W Lindell Rd Unit B2, Las Vegas, NV 89146",89146,"2,350/mo","1,550",2,2,Apartment,2022
https://www.realtor.com/rentals/details/1230-Lindell-Rd-B3_Las-Vegas_NV_89146_M96738-61722,1230 W Lindell Rd Unit B3,"1230 W Lindell Rd Unit B3, Las Vegas, NV 89146",89146,"2,400/mo","1,550",2,2,Apartment,2022
https://www.realtor.com/rentals/details/3915-Ebro-Way_Las-Vegas_NV_89103_M21885-83210,3915 Ebro Way,"3915 Ebro Way, Las Vegas, NV 89103",89103,"1,550/mo","1,135",2,2,Single family,1978
https://www.realtor.com/rentals/details/5780-Sunset-River-Ave_Las-Vegas_NV_89131_M91382-04155,5780 Sunset River Ave,"5780 Sunset River Ave, Las Vegas, NV 89131",89131,"3,750/mo","3,809",6,5,Single family,2017
https://www.realtor.com/rentals/details/2700-Las-Vegas-Blvd-S-Unit-2702_Las-Vegas_NV_89109_M20797-53114,2700 Las Vegas Blvd S Unit 2702,"2700 Las Vegas Blvd S Unit 2702, Las Vegas, NV 89109",89109,"3,800/mo","1,781",3,4,Condos,2006
https://www.realtor.com/rentals/details/6520-Sundown-Heights-Ave_Las-Vegas_NV_89130_M10938-02724,6520 Sundown Heights Ave,"6520 Sundown Heights Ave, Las Vegas, NV 89130",89130,"1,725/mo","1,414",3,2,Townhomes,1996
https://www.realtor.com/rentals/details/6342-Heather-Creek-Pl_Las-Vegas_NV_89122_M24563-69272,6342 Heather Creek Pl,"6342 Heather Creek Pl, Las Vegas, NV 89122",89122,"2,150/mo","2,315",4,3,Single family,2006
https://www.realtor.com/rentals/details/2700-Las-Vegas-Blvd-S-Unit-1704_Las-Vegas_NV_89109_M20836-66038,2700 Las Vegas Blvd S Unit 1704,"2700 Las Vegas Blvd S Unit 1704, Las Vegas, NV 89109",89109,"2,300/mo","1,100",2,2,Condos,2006
https://www.realtor.com/rentals/details/3955-Clear-View-Dr_Las-Vegas_NV_89121_M14128-28935,3955 Clear View Dr,"3955 Clear View Dr, Las Vegas, NV 89121",89121,"1,595/mo","1,712",3,3,Single family,1972
https://www.realtor.com/rentals/details/1306-Rexford-Pl-Apt-B_Las-Vegas_NV_89104_M22834-31393,1306 Rexford Pl Apt B,"1306 Rexford Pl Apt B, Las Vegas, NV 89104",89104,"1,195/mo","2,355",2,1,Multi family,1954
https://www.realtor.com/rentals/details/150-Las-Vegas-Blvd-N-Unit-2309_Las-Vegas_NV_89101_M15770-74284,150 Las Vegas Blvd N Unit 2309,"150 Las Vegas Blvd N Unit 2309, Las Vegas, NV 89101",89101,"2,195/mo",817,1,2,Condos,2007
https://www.realtor.com/rentals/details/222-Karen-Ave-Unit-2804_Las-Vegas_NV_89109_M27518-19961,222 Karen Ave Unit 2804,"222 Karen Ave Unit 2804, Las Vegas, NV 89109",89109,"2,300/mo",814,1,2,Condos,2007
https://www.realtor.com/rentals/details/5284-Silverheart-Ave_Las-Vegas_NV_89142_M27653-79170,5284 Silverheart Ave,"5284 Silverheart Ave, Las Vegas, NV 89142",89142,"1,625/mo","1,227",3,2,Single family,1990
https://www.realtor.com/rentals/details/8320-Spruce-Meadows-Ave_Las-Vegas_NV_89131_M12238-34970,8320 Spruce Meadows Ave,"8320 Spruce Meadows Ave, Las Vegas, NV 89131",89131,"1,875/mo","1,809",3,2,Single family,1997
https://www.realtor.com/rentals/details/2124-William-Holden-Ct_Las-Vegas_NV_89142_M24566-49729,2124 William Holden Ct,"2124 William Holden Ct, Las Vegas, NV 89142",89142,"1,700/mo","1,245",2,2,Townhomes,2001
https://www.realtor.com/rentals/details/222-Karen-Ave-Unit-2904_Las-Vegas_NV_89109_M27526-77078,222 Karen Ave Unit 2904,"222 Karen Ave Unit 2904, Las Vegas, NV 89109",89109,"2,195/mo",814,1,2,Condos,2007
https://www.realtor.com/rentals/details/9825-Silver-Chaps-Ct_Las-Vegas_NV_89183_M26658-62656,9825 Silver Chaps Ct,"9825 Silver Chaps Ct, Las Vegas, NV 89183",89183,"2,175/mo","2,259",4,3,Single family,
https://www.realtor.com/rentals/details/2695-Sunrise-Day-Ct_Las-Vegas_NV_89142_M28250-38092,2695 Sunrise Day Court Las Vegas NV,"2695 Sunrise Day Ct, Las Vegas, NV 89142",89142,"1,999/mo","1,334",3,2,Single family,2004
https://www.realtor.com/rentals/details/3741-Rolling-Cloud-Dr_Las-Vegas_NV_89115_M24460-81426,3741 Rolling Cloud Drive Las Vegas NV,"3741 Rolling Cloud Dr, Las Vegas, NV 89115",89115,"1,639/mo","1,064",3,2,Single family,1994
https://www.realtor.com/rentals/details/8108-Satin-Carnation-Ln_Las-Vegas_NV_89166_M14688-40380,8108 Satin Carnation Lane Las Vegas NV,"8108 Satin Carnation Ln, Las Vegas, NV 89166",89166,"2,039/mo","1,457",3,2,Single family,2015
https://www.realtor.com/rentals/details/10872-Casco-Bay-St_Las-Vegas_NV_89179_M11794-69145,10872 Casco Bay St,"10872 Casco Bay St, Las Vegas, NV 89179",89179,"2,500/mo","2,496",5,4,Single family,2014
https://www.realtor.com/rentals/details/2777-Paradise-Rd-Unit-808_Las-Vegas_NV_89109_M17801-56001,2777 Paradise Rd Unit 808,"2777 Paradise Rd Unit 808, Las Vegas, NV 89109",89109,"2,650/mo","1,179",1,1,Condos,2005
https://www.realtor.com/rentals/details/7549-Brisa-Del-Mar-Ave_Las-Vegas_NV_89179_M23293-15215,7549 Brisa del Mar Avenue Las Vegas NV,"7549 Brisa Del Mar Ave, Las Vegas, NV 89179",89179,"1,779/mo","1,283",3,2,Single family,2007
https://www.realtor.com/rentals/details/8360-Montecito-Pointe-Dr_Las-Vegas_NV_89149_M93597-05882,Elysian at Centennial,"8360 Montecito Pointe Dr, Las Vegas, NV 89149",89149,"1,387",605,Studio,1,Apartment,
https://www.realtor.com/rentals/details/8920-Dorrell-Ln_Las-Vegas_NV_89149_M20030-96398,8920 Dorrell Lane Las Vegas NV,"8920 Dorrell Ln, Las Vegas, NV 89149",89149,"2,459/mo","1,464",3,3,Single family,2010
https://www.realtor.com/rentals/details/2660-N-Buffalo-Dr_Las-Vegas_NV_89128_M97928-72866,Buffalo at Desert Shores,"2660 N Buffalo Dr, Las Vegas, NV 89128",89128,"1,197",536,Studio,1,Apartment,
https://www.realtor.com/rentals/details/11274-Dolcetto-Dr_Las-Vegas_NV_89141_M12130-13845,11274 Dolcetto Drive Las Vegas NV,"11274 Dolcetto Dr, Las Vegas, NV 89141",89141,"2,059/mo","1,780",3,2,Single family,2003
https://www.realtor.com/rentals/details/5421-E-Harmon-Ave_Las-Vegas_NV_89122_M18023-29940,Harmon Hills,"5421 E Harmon Ave, Las Vegas, NV 89122",89122,695,230,Studio,1,Apartment,
https://www.realtor.com/rentals/details/6111-S-Buffalo-Dr_Las-Vegas_NV_89113_M90211-13460,Evora,"6111 S Buffalo Dr, Las Vegas, NV 89113",89113,"1,994",780,Studio,1,Apartment,
https://www.realtor.com/rentals/details/8150-Rafael-Rivera-Way_Las-Vegas_NV_89113_M90377-73658,Elysian at Sunset,"8150 Rafael Rivera Way, Spring Valley, NV 89113",89113,"1,483",605,Studio,1,Apartment,
https://www.realtor.com/rentals/details/1000_Las-Vegas_NV_89169_M95648-03713,Townhome Villas,"1000 and 1100 Dumont Blvd, Las Vegas, NV 89169",89169,999,800,1,1,Townhomes,
https://www.realtor.com/rentals/details/5055-S-Fort-Apache-Rd_Las-Vegas_NV_89148_M96634-93448,Ely at Fort Apache,"5055 S Fort Apache Rd, Las Vegas, NV 89148",89148,"1,496",544,Studio,1,Apartment,
https://www.realtor.com/rentals/details/115-S-14th-St_Las-Vegas_NV_89101_M20622-79485,115 Apartments,"115 S 14th St, Las Vegas, NV 89101",89101,925/mo,500,Studio,1,Apartment,
https://www.realtor.com/rentals/details/6212-Govett-Crescent-Ct_Las-Vegas_NV_89130_M24967-05908,6212 Govett Crescent Court Las Vegas NV,"6212 Govett Crescent Ct, Las Vegas, NV 89130",89130,"2,069/mo","1,916",4,2,Single family,2012
https://www.realtor.com/rentals/details/4150-S-Hualapai-Way_Las-Vegas_NV_89147_M91898-04351,Aster Blue Diamond Apartments,"4150 S Hualapai Way, Las Vegas, NV 89147",89147,"1,260",619,Studio,1,Apartment,
https://www.realtor.com/rentals/details/3949-W-Alexander-Rd_North-Las-Vegas_NV_89032_M21130-75836,Destinations Alexander Age 55+ Apartment Homes,"3949 W Alexander Rd, Las Vegas, NV 89032",89032,"1,327",450,Studio,1,Apartment,
https://www.realtor.com/rentals/details/5025-Nellis-Oasis-Ln_Las-Vegas_NV_89115_M18817-80591,Village Square,"5025 Nellis Oasis Ln, Las Vegas, NV 89115",89115,850/mo,400,Studio,1,Apartment,
https://www.realtor.com/rentals/details/9655-Ensworth-St_Las-Vegas_NV_89123_M15763-23093,Desert Meadows,"9655 Ensworth St, Las Vegas, NV 89123",89123,"1,134",440,Studio,1,Apartment,
https://www.realtor.com/rentals/details/100-Park-Vista-Dr_Las-Vegas_NV_89138_M99324-02851,Altessa,"100 Park Vista Dr, Las Vegas, NV 89138",89138,"1,823",644,1,1,Apartment,
https://www.realtor.com/rentals/details/8791-Alta-Dr_Las-Vegas_NV_89145_M90534-92162,Elysian at Tivoli,"8791 Alta Dr, Las Vegas, NV 89145",89145,"1,399",615,Studio,1,Apartment,
https://www.realtor.com/rentals/details/8353-Myerlee-Ct_Las-Vegas_NV_89131_M25263-43339,8353 Myerlee Ct,"8353 Myerlee Ct, Las Vegas, NV 89131",89131,"3,800/mo","3,300",4,3,Single family,
https://www.realtor.com/rentals/details/3930-University-Center-Dr-Apt-702_Las-Vegas_NV_89119_M26486-37629,3930 University Center Dr Apt 702,"3930 University Center Dr Apt 702, Las Vegas, NV 89119",89119,"1,395/mo","1,321",2,2,Condos,1975
https://www.realtor.com/rentals/details/8308-Opal-Cove-Dr_Las-Vegas_NV_89128_M13049-06065,8308 Opal Cove Dr,"8308 Opal Cove Dr, Las Vegas, NV 89128",89128,"2,700/mo","2,419",4,3,Single family,1990
https://www.realtor.com/rentals/details/8904-Goldstone-Ave_Las-Vegas_NV_89143_M16998-15704,8904 Goldstone Ave,"8904 Goldstone Ave, Las Vegas, NV 89143",89143,"3,395/mo","6,087",9,5,Single family,2001
https://www.realtor.com/rentals/details/6128-Molly-Malone-Ct_Las-Vegas_NV_89130_M18277-78727,6128 Molly Malone Ct,"6128 Molly Malone Ct, Las Vegas, NV 89130",89130,"2,800/mo","4,043",5,4,Single family,2005
https://www.realtor.com/rentals/details/3722-Las-Vegas-Blvd-S-Unit-508_Las-Vegas_NV_89158_M29841-26765,3722 Las Vegas Blvd S Unit 508,"3722 Las Vegas Blvd S Unit 508, Las Vegas, NV 89158",89158,"1,900/mo",577,Studio,1,Condos,2007
https://www.realtor.com/rentals/details/6410-Cameron-Park-St_Las-Vegas_NV_89166_M11086-26588?ex=2958784598&listing_status=rental,6410 Cameron Park St,"6410 Cameron Park St, Las Vegas, NV 89166",89166,"2,500/mo","1,847",3,2,Single family,2014
https://www.realtor.com/rentals/details/8181-Misty-Sage-St_Las-Vegas_NV_89139_M29577-71156,8181 Misty Sage St,"8181 Misty Sage St, Las Vegas, NV 89139",89139,"1,700/mo","1,311",2,3,Single family,2006
https://www.realtor.com/rentals/details/5005-Spencer-St-Unit-C_Las-Vegas_NV_89119_M28922-61481,5005 Spencer St Unit C,"5005 Spencer St Unit C, Las Vegas, NV 89119",89119,"1,480/mo",828,2,2,Townhomes,1979
https://www.realtor.com/rentals/details/10516-India-Hawthorn-Ave_Las-Vegas_NV_89144_M14020-55228,10516 India Hawthorn Ave,"10516 India Hawthorn Ave, Las Vegas, NV 89144",89144,"2,195/mo","1,321",2,3,Single family,2000
https://www.realtor.com/rentals/details/3832-Badgerbrook-St_Las-Vegas_NV_89129_M21628-85454,3832 Badgerbrook St,"3832 Badgerbrook St, Las Vegas, NV 89129",89129,"1,750/mo","1,650",3,3,Single family,2004
https://www.realtor.com/rentals/details/683-Oakmont-Ave-Unit-3503_Las-Vegas_NV_89109_M18395-57913,683 Oakmont Ave Unit 3503,"683 Oakmont Ave Unit 3503, Las Vegas, NV 89109",89109,"1,700/mo",869,1,1,Condos,1974
https://www.realtor.com/rentals/details/200-W-Sahara-Ave-Unit-3005_Las-Vegas_NV_89102_M27021-81726,200 W Sahara Ave Unit 3005,"200 W Sahara Ave Unit 3005, Las Vegas, NV 89102",89102,"2,100/mo","1,233",2,2,Condos,2006
https://www.realtor.com/rentals/details/2700-Las-Vegas-Blvd-S-Unit-2904_Las-Vegas_NV_89109_M22746-33907,2700 Las Vegas Blvd S Unit 2904,"2700 Las Vegas Blvd S Unit 2904, Las Vegas, NV 89109",89109,"2,400/mo","1,100",2,2,Condos,2006
https://www.realtor.com/rentals/details/900-Domnus-Ln-Unit-204_Las-Vegas_NV_89144_M14272-64675,900 Domnus Ln Unit 204,"900 Domnus Ln Unit 204, Las Vegas, NV 89144",89144,"1,695/mo","1,159",2,2,Condos,2002
https://www.realtor.com/rentals/details/12612-Heritage-Heights-Dr_Las-Vegas_NV_89138_M90875-05940,12612 Heritage Heights Dr,"12612 Heritage Heights Dr, Las Vegas, NV 89138",89138,"4,999/mo","2,515",3,3,Single family,2023
https://www.realtor.com/rentals/details/3542-Winter-Scene-Ct_Las-Vegas_NV_89147_M25283-74073,3542 Winter Scene Ct,"3542 Winter Scene Ct, Las Vegas, NV 89147",89147,"1,950/mo","1,220",3,2,Single family,1994
https://www.realtor.com/rentals/details/5636-Great-Eagle-Ct_Las-Vegas_NV_89122_M28876-18982,5636 Great Eagle Ct,"5636 Great Eagle Ct, Las Vegas, NV 89122",89122,"1,875/mo","1,436",3,2,Single family,
https://www.realtor.com/rentals/details/1450-E-Pebble-Rd_Las-Vegas_NV_89123_M15625-71960,Destinations Pebble Age 55+ Apartment Homes,"1450 E Pebble Rd, Paradise, NV 89123",89123,"1,079",455,Studio,1,Apartment,
https://www.realtor.com/rentals/details/12656-Southern-Highlands-Pkwy_Las-Vegas_NV_89141_M91131-57265,Tuscan Highlands,"12656 Southern Highlands Pkwy, Las Vegas, NV 89141",89141,"1,372",503,Studio,1,Apartment,
https://www.realtor.com/rentals/details/3651-Arville-St-Apt-738_Las-Vegas_NV_89103_M10319-43733,Twain Estates,"3651 Arville St, Paradise, NV 89103",89103,925,485,Studio,1,Apartment,
https://www.realtor.com/rentals/details/5600-W-Oquendo-Rd_Las-Vegas_NV_89118_M28573-30115,5600 W Oquendo Rd,"5600 W Oquendo Rd, Las Vegas, NV 89118",89118,"10,000/mo","5,073",6,5,Single family,2008
https://www.realtor.com/rentals/details/9620-W-Russell-Rd-Apt-2027_Las-Vegas_NV_89148_M14228-14067,9620 W Russell Rd Apt 2027,"9620 W Russell Rd Apt 2027, Las Vegas, NV 89148",89148,"1,445/mo",931,2,2,Condos,2001
https://www.realtor.com/rentals/details/1300-S-Casino-Center-Blvd_Las-Vegas_NV_89104_M97087-46859,shareDOWNTOWN Arts District,"1300 S Casino Center Blvd, Las Vegas, NV 89104",89104,"1,300/mo",480,Studio,1,Apartment,
https://www.realtor.com/rentals/details/3350-N-Durango-Dr_Las-Vegas_NV_89129_M21500-45854,Estancia,"3350 N Durango Dr, Las Vegas, NV 89129",89129,"1,355",707,Studio,1,Apartment,
https://www.realtor.com/rentals/details/10695-Dean-Martin-Dr_Las-Vegas_NV_89141_M18749-66731,Volare,"10695 Dean Martin Dr, Las Vegas, NV 89141",89141,"1,355",568,Studio,1,Apartment,
https://www.realtor.com/rentals/details/6817-Helen-Toland-St-Ste-105_Las-Vegas_NV_89113_M95040-29603,Vestra Uncommons,"6817 Helen Toland St Ste 105, Las Vegas, NV 89113",89113,"1,855",608,Studio,1,Apartment,
https://www.realtor.com/rentals/details/9345-Copper-Villa-Ct_Las-Vegas_NV_89129_M11554-51324,9345 Copper Villa Court Las Vegas NV,"9345 Copper Villa Ct, Las Vegas, NV 89129",89129,"2,219/mo","1,662",4,2,Single family,1999
https://www.realtor.com/rentals/details/2635-Karen-Ct_Las-Vegas_NV_89109_M10024-27578,The Hendrix,"2635 Karen Ct, Winchester, NV 89109",89109,850,285,Studio,1,Apartment,
https://www.realtor.com/rentals/details/2373-Underpar-Cir_Las-Vegas_NV_89142_M11669-19726,2373 Underpar Circle Las Vegas NV,"2373 Underpar Cir, Las Vegas, NV 89142",89142,"2,219/mo","1,636",4,3,Single family,1993
https://www.realtor.com/rentals/details/12020-Southern-Highlands-Pkwy_Las-Vegas_NV_89141_M21886-90573,The Logan at Southern Highlands,"12020 Southern Highlands Pkwy, Las Vegas, NV 89141",89141,"1,840","1,051",1,1,Townhomes,
https://www.realtor.com/rentals/details/5450-S-Fort-Apache-Rd_Las-Vegas_NV_89148_M15254-55082,St. Clair Apartments,"5450 S Fort Apache Rd, Las Vegas, NV 89148",89148,"1,575",914,Studio,1,Apartment,
https://www.realtor.com/rentals/details/4441-Escondido-St_Las-Vegas_NV_89119_M21791-03140,Ashton Park,"4441 Escondido St, Las Vegas, NV 89119",89119,"1,234",660,Studio,1,Apartment,
https://www.realtor.com/rentals/details/2656-N-Buffalo-Dr_Las-Vegas_NV_89128_M13369-03872,Inspire,"2656 N Buffalo Dr, Las Vegas, NV 89128",89128,"1,545",403,Studio,1,Apartment,
https://www.realtor.com/rentals/details/1001-N-Pecos-Rd_Las-Vegas_NV_89101_M27677-63913,Park Vista Apartments,"1001 N Pecos Rd, Las Vegas, NV 89101",89101,995,650,1,1,Apartment,
https://www.realtor.com/rentals/details/9860-W-Tropicana-Ave_Las-Vegas_NV_89147_M97684-92963,Radiance at Grand Canyon,"9860 W Tropicana Ave, Spring Valley, NV 89147",89147,"1,499",546,Studio,1,Apartment,
https://www.realtor.com/rentals/details/5850-Sky-Pointe-Dr_Las-Vegas_NV_89130_M15005-87478,The Paisley and Pointe at Centennial Hills,"5850 Sky Pointe Dr, Las Vegas, NV 89130",89130,"1,320",740,1,1,Apartment,1997
https://www.realtor.com/rentals/details/2850-S-Maryland-Pkwy_Las-Vegas_NV_89109_M94146-90721,Casa Tiempo,"2850 S Maryland Pkwy, Las Vegas, NV 89109",89109,877,625,1,1,Apartment,
https://www.realtor.com/rentals/details/2850-E-Bonanza-Rd_Las-Vegas_NV_89101_M27441-74571,Mirabella Apartments,"2850 E Bonanza Rd, Las Vegas, NV 89101",89101,"1,025",624,1,1,Apartment,
https://www.realtor.com/rentals/details/4001-Pennwood-Ave_Las-Vegas_NV_89102_M28607-05173,Pennwood Apartments,"4001 Pennwood Ave, Las Vegas, NV 89102",89102,850,457,Studio,1,Apartment,
https://www.realtor.com/rentals/details/109-Orland-St_Las-Vegas_NV_89107_M91503-65232,Orland Apartments,"109 Orland St, Las Vegas, NV 89107",89107,750/mo,515,1,1,Apartment,
https://www.realtor.com/rentals/details/8785-Crystal-Port-Ave_Las-Vegas_NV_89147_M19792-55398,8785 Crystal Port Ave,"8785 Crystal Port Ave, Las Vegas, NV 89147",89147,"2,200/mo","1,346",2,2,Townhomes,1999
https://www.realtor.com/rentals/details/4525-Dean-Martin-Dr-Unit-911_Las-Vegas_NV_89103_M10243-91556,4525 Dean Martin Dr Unit 911,"4525 Dean Martin Dr Unit 911, Las Vegas, NV 89103",89103,"2,695/mo","1,134",2,2,Condos,2006
https://www.realtor.com/rentals/details/9136-Wine-Cellar-Ave_Las-Vegas_NV_89148_M23891-93664,9136 Wine Cellar Ave,"9136 Wine Cellar Ave, Las Vegas, NV 89148",89148,"2,100/mo","1,935",3,3,Single family,2005
https://www.realtor.com/rentals/details/7097-Steele-Canyon-St_Las-Vegas_NV_89118_M95852-99278,7097 Steele Canyon St,"7097 Steele Canyon St, Las Vegas, NV 89118",89118,"3,000/mo","3,005",5,4,Single family,2021
https://www.realtor.com/rentals/details/3555-Meridale-Dr-Unit-1145_Las-Vegas_NV_89147_M25503-98245,3555 Meridale Dr Unit 1145,"3555 Meridale Dr Unit 1145, Las Vegas, NV 89147",89147,"1,550/mo","1,179",2,2,Condos,1998
https://www.realtor.com/rentals/details/6762-Costa-Pl_Las-Vegas_NV_89146_M21157-28293,6762 Costa Pl,"6762 Costa Pl, Las Vegas, NV 89146",89146,"3,500/mo","3,183",5,3,Single family,1979
https://www.realtor.com/rentals/details/8070-W-Russell-Rd-Unit-2022_Las-Vegas_NV_89113_M25922-73792,8070 W Russell Rd Unit 2022,"8070 W Russell Rd Unit 2022, Las Vegas, NV 89113",89113,"1,795/mo","1,039",2,2,Condos,1994
https://www.realtor.com/rentals/details/7440-Oak-Grove-Ave_Las-Vegas_NV_89117_M18854-73406?ex=2958953012&listing_status=rental,7440 Oak Grove Ave,"7440 Oak Grove Ave, Las Vegas, NV 89117",89117,"25,000/mo","12,100",9,10,Single family,1995
https://www.realtor.com/rentals/details/220-Convention-Center-Dr_Las-Vegas_NV_89109_M29462-49710,220 Convention Center Dr,"220 Convention Center Dr, Las Vegas, NV 89109",89109,"1,722/mo",340,Studio,1,Single family,
https://www.realtor.com/rentals/details/669-Oakmont-Ave-Unit-3706_Las-Vegas_NV_89109_M24506-27229,669 Oakmont Ave Unit 3706,"669 Oakmont Ave Unit 3706, Las Vegas, NV 89109",89109,"1,399/mo","1,164",2,2,Condos,1974
https://www.realtor.com/rentals/details/3135-S-Mojave-Rd_Las-Vegas_NV_89121_M10049-61297,3135 S Mojave Rd,"3135 S Mojave Rd, Las Vegas, NV 89121",89121,"1,550/mo",927,2,2,Condos,
