URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Est. Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA Dues,Lot Size,Garage Spaces,Has Pool,Floor Type,Heat Type,Cool Type,Tax Amount,Has Patio
https://www.redfin.com/NV/Las-Vegas/1405-Vegas-Valley-Dr-89169/unit-225/home/29467482,58,45,44,Robert E Lake Elementary School,5,John C Fremont Middle School,5,Valley High School,1,"1405 Vegas Valley Dr #225,Las Vegas,NV89169","$158,000",3,2,"1,125",,,1971,Condo,Two Story,$446/month,,,Community,Carpet,"Central, Gas","Central Air, Electric",$308,"Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/1405-Vegas-Valley-Dr-89169/unit-331/home/29468736,58,45,44,Robert E Lake Elementary School,5,John C Fremont Middle School,5,Valley High School,1,"1405 Vegas Valley Dr #331,Las Vegas,NV89169","$141,500",1,1,671,,,1971,Condo,Two Story,$265/month,,,Community,Luxury Vinyl Plank,"Central, Electric","Central Air, Electric",$305,"Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/1934-Capistrano-Ave-89169/home/29469316,38,41,40,Robert E Lake Elementary School,5,K O Knudson Junior High School,5,Valley High School,1,"1934 Capistrano Ave,Las Vegas,NV89169","$273,000",4,2,"1,431",,,1963,"Residential, Single Family Residence",One Story,,"7,405 Sq. Ft.",,,,"Central, Gas","Central Air, Electric",$813,
https://www.redfin.com/NV/Las-Vegas/2740-San-Lago-Ct-89121/home/29473256,42,43,69,George E Harris Elementary School,4,William E Orr Middle School,3,Valley High School,1,"2740 San Lago Ct,Las Vegas,NV89121","$425,000",3,3,"2,118",,,1979,"Residential, Townhouse",One Story,$315/month,"3,049 Sq. Ft.",2,Community,"Carpet, Luxury Vinyl Plank","Central, Gas","Central Air, Electric","$1,128","Covered, Patio, Porch"
https://www.redfin.com/NV/Las-Vegas/3571-Calvert-Ct-89121/home/29475269,44,42,53,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"3571 Calvert Ct,Las Vegas,NV89121","$295,000",2,2,"1,294",,,1977,"Residential, Townhouse",One Story,$195/month,"3,920 Sq. Ft.",2,Community,"Luxury Vinyl Plank, Tile","Central, Gas, High Efficiency","Central Air, Electric, High Efficiency",$857,
https://www.redfin.com/NV/Las-Vegas/1655-Commanche-Dr-89169/home/29476887,59,45,45,Ruby S Thomas Elementary School,2,William E Orr Middle School,3,Valley High School,1,"1655 Commanche Dr,Las Vegas,NV89169","$367,000",3,2,"1,344",,,1963,"Residential, Single Family Residence",One Story,,"8,276 Sq. Ft.",2,"In Ground, Private, Pool/Spa Combo","Laminate, Tile","Central, Gas","Central Air, Electric","$1,315",Patio
https://www.redfin.com/NV/Las-Vegas/6124-Tokara-Ave-89122/home/29480874,1,14,35,Cynthia Cunningham Elementary School,2,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"6124 Tokara Ave,Las Vegas,NV89122","$300,000",3,2,"1,234",,,2008,"Residential, Single Family Residence",One Story,$115/month,"4,356 Sq. Ft.",2,Community,"Carpet, Laminate, Tile","Central, Gas","Central Air, Electric","$1,648","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/125-E-Harmon-Ave-89109/unit-2914/home/29485313,75,52,47,Paradise Elementary School,3,William E Orr Middle School,3,Del Sol High School,3,"125 E Harmon Ave #2914,Las Vegas,NV89109","$449,000",1,2,847,,,2006,Condo,"High Rise, High Rise, Penthouse","$1,598/month",,,"Association, Community",Carpet,"Central, Electric",Electric,"$3,319",Terrace
https://www.redfin.com/NV/Las-Vegas/510-Elm-Dr-89169/unit-106/home/29494065,72,46,66,Dean Petersen Elementary School,3,William E Orr Middle School,3,Valley High School,1,"510 Elm Dr #106,Las Vegas,NV89169","$131,000",1,1,462,,,1985,Condo,Two Story,$184/month,,,Community,"Ceramic Tile, Laminate","Central, Electric","Central Air, Electric",$339,Patio
https://www.redfin.com/NV/Las-Vegas/4746-Via-San-Andros-89103/home/29502067,77,44,54,C H Decker Elementary School,4,Grant Sawyer Middle School,4,Education W Clark High School,3,"4746 Via San Andros,Las Vegas,NV89103","$280,000",3,2,"1,036",,,1978,"Residential, Townhouse",One Story,,"3,920 Sq. Ft.",1,,"Carpet, Tile","Central, Gas","Central Air, Electric",$907,
https://www.redfin.com/NV/Las-Vegas/4673-Via-Torino-89103/home/29502315,81,42,53,C H Decker Elementary School,4,Grant Sawyer Middle School,4,Education W Clark High School,3,"4673 Via Torino,Las Vegas,NV89103","$298,000",3,2,"1,192",,,1979,"Residential, Single Family Residence",One Story,,"4,792 Sq. Ft.",1,,Tile,"Central, Gas","Central Air, Electric",$858,"Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/4150-Sanderling-Cir-89103/unit-455/home/29502906,80,43,63,Rex Bell Elementary School,4,Grant Sawyer Middle School,4,Education W Clark High School,3,"4150 Sanderling Cir #455,Las Vegas,NV89103","$170,000",1,1,724,,,1988,Condo,Two Story,$150/month,"3,440 Sq. Ft.",1,Community,"Carpet, Laminate","Central, Electric","Central Air, Electric",$665,Balcony
https://www.redfin.com/NV/Las-Vegas/4339-Spencer-St-89119/unit-8/home/29504555,59,48,58,Paradise Elementary School,3,William E Orr Middle School,3,Del Sol High School,3,"4339 Spencer St #8,Las Vegas,NV89119","$270,000",3,1.5,"1,220",,,1978,"Residential, Townhouse",Two Story,$89/month,"2,756 Sq. Ft.",2,Community,"Carpet, Linoleum, Vinyl","Central, Gas","Central Air, Electric",$618,"Deck, Rooftop"
https://www.redfin.com/NV/Las-Vegas/3083-Van-Buskirk-Cir-89121/home/29508090,45,41,53,Lewis E Rowe Elementary School,7,C W Woodbury Middle School,2,Del Sol High School,3,"3083 Van Buskirk Cir,Las Vegas,NV89121","$397,000",3,2.5,"2,254",,,1979,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",2,"In Ground, Private","Carpet, Tile","Central, Electric","Central Air, Electric","$2,080",
https://www.redfin.com/NV/Las-Vegas/5405-Mountain-View-Dr-89146/home/29517000,64,41,51,Doris Hancock Elementary School,3,Hyde Park Middle School,7,Bonanza High School,3,"5405 Mountain View Dr,Las Vegas,NV89146","$335,000",3,2,"1,758",,,1964,"Residential, Single Family Residence",One Story,,"6,534 Sq. Ft.",,,"Carpet, Linoleum, Vinyl","Central, Gas","Central Air, Electric",$936,
https://www.redfin.com/NV/Las-Vegas/5228-Del-Rey-Ave-89146/home/29517335,76,41,52,Doris Hancock Elementary School,3,Hyde Park Middle School,7,Bonanza High School,3,"5228 Del Rey Ave,Las Vegas,NV89146","$273,500",3,2,"1,314",,,1961,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",2,"In Ground, Private",Carpet,"Central, Gas","Central Air, Electric","$2,748",Patio
https://www.redfin.com/NV/Las-Vegas/5401-Del-Rey-Ave-89146/home/29517447,70,42,51,Doris Hancock Elementary School,3,Hyde Park Middle School,7,Bonanza High School,3,"5401 Del Rey Ave,Las Vegas,NV89146","$425,000",4,2,"2,270",,,1964,"Residential, Single Family Residence",Two Story,,"6,098 Sq. Ft.",2,,"Carpet, Laminate","Central, Gas","Central Air, Electric","$1,277",Balcony
https://www.redfin.com/NV/Las-Vegas/8217-Gillette-St-89117/home/29521745,41,34,36,Herbert A Derfelt Elementary School,5,Walter Johnson Junior High School,7,Bonanza High School,3,"8217 Gillette St,Las Vegas,NV89117","$550,000",3,2,"1,888",,,1997,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",3,,"Laminate, Tile","Central, Gas","Central Air, Electric","$2,388","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/8817-Borla-Dr-89117/home/29523704,72,41,57,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"8817 Borla Dr,Las Vegas,NV89117","$336,000",3,2.5,"1,467",,,1983,"Residential, Townhouse",Two Story,,"5,227 Sq. Ft.",2,,"Carpet, Tile","Central, Gas","Central Air, Electric","$1,461","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/10001-Pinnacle-Pass-Dr-89117/home/29525532,63,33,41,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"10001 Pinnacle Pass Dr,Las Vegas,NV89117","$670,000",4,3.5,"2,982",,,1998,"Residential, Single Family Residence",Two Story,$99/month,"6,970 Sq. Ft.",3,"In Ground, Private","Carpet, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units","$3,664","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/2052-Jade-Creek-St-89117/unit-203/home/29525970,62,33,38,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"2052 Jade Creek St #203,Las Vegas,NV89117","$310,000",2,2,"1,319",,,2000,Condo,Two Story,$307/month,"2,556 Sq. Ft.",2,,"Carpet, Laminate","Central, Gas","Central Air, Electric","$1,346",Balcony
https://www.redfin.com/NV/Las-Vegas/2740-Monrovia-Dr-89117/home/29528387,40,36,37,d'Vorre & Hall Ober Elementary School,7,Victoria Fertitta Middle School,8,Bonanza High School,3,"2740 Monrovia Dr,Las Vegas,NV89117","$555,000",3,3,"2,663",,,1989,"Residential, Single Family Residence",Two Story,$31/month,"6,970 Sq. Ft.",3,,"Laminate, Tile","Central, Gas, Solar","Central Air, Electric, 2 Units","$2,504","Balcony, Covered, Deck, Patio"
https://www.redfin.com/NV/Las-Vegas/9733-Fern-Canyon-Ave-89117/home/29528900,22,37,36,M J Christensen Elementary School,7,Clifford J Lawrence Junior High School,5,Bonanza High School,3,"9733 Fern Canyon Ave,Las Vegas,NV89117","$416,000",4,3,"1,991",,,1989,"Residential, Single Family Residence",Two Story,$31/month,"3,920 Sq. Ft.",2,,"Carpet, Tile","Central, Gas","Central Air, Electric","$2,052","Balcony, Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/3220-Beacon-Shores-Cir-89117/home/29530099,53,38,46,M J Christensen Elementary School,7,Clifford J Lawrence Junior High School,5,Bonanza High School,3,"3220 Beacon Shores Cir,Las Vegas,NV89117","$420,000",3,2,"1,237",,,1987,"Residential, Single Family Residence",One Story,$23/month,"5,663 Sq. Ft.",2,,"Linoleum, Vinyl","Central, Gas","Central Air, Electric","$2,539",
https://www.redfin.com/NV/Las-Vegas/3304-Paragon-Dr-89117/home/29534664,73,37,54,M J Christensen Elementary School,7,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3304 Paragon Dr,Las Vegas,NV89117","$365,000",2,2,"1,101",,,1988,"Residential, Single Family Residence",One Story,$24/month,"3,920 Sq. Ft.",2,,"Carpet, Tile","Central, Gas","Central Air, Electric","$1,407","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/8455-W-Sahara-Ave-89117/unit-173/home/29534716,71,37,47,Herbert A Derfelt Elementary School,5,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"8455 W Sahara Ave #173,Las Vegas,NV89117","$200,000",1,1,663,,,1990,Condo,Two Story,$180/month,,1,Community,"Carpet, Laminate","Central, Electric","Central Air, Electric",$604,Patio
https://www.redfin.com/NV/Las-Vegas/3309-Mariner-Bay-St-89117/home/29534751,55,38,49,M J Christensen Elementary School,7,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3309 Mariner Bay St,Las Vegas,NV89117","$386,000",3,2,"1,257",,,1986,"Residential, Single Family Residence",One Story,$72/month,"4,356 Sq. Ft.",2,,"Carpet, Ceramic Tile, Laminate","Central, Gas","Central Air, Electric","$1,530","Covered, Patio, Porch"
https://www.redfin.com/NV/Las-Vegas/7355-Edna-Ave-89117/home/29536948,29,36,47,R Guild Gray Elementary School,4,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"7355 Edna Ave,Las Vegas,NV89117","$750,000",4,2,"2,587",,,1979,"Residential, Single Family Residence","One Story, Custom",,0.54 Acres,3,"Heated, In Ground, Private","Carpet, Ceramic Tile","Central, Electric","Central Air, Electric","$3,578","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/2845-Montessouri-St-89117/home/29537098,40,37,54,R Guild Gray Elementary School,4,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"2845 Montessouri St,Las Vegas,NV89117","$720,000",5,3.5,"3,194",,,1976,"Residential, Single Family Residence",One Story,,0.47 Acres,2,"In Ground, Private","Carpet, Tile","Central, Gas","Central Air, Electric","$3,266","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/5865-Edna-Ave-89146/home/29539015,50,39,43,Elaine Wynn Elementary School,3,Kenny C Guinn Middle School,5,Education W Clark High School,3,"5865 Edna Ave,Las Vegas,NV89146","$1,200,000",4,3,"4,258",,,1961,"Residential, Single Family Residence","One Story, Custom",,0.58 Acres,,"In Ground, Private, Waterfall","Ceramic Tile, Laminate","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units","$3,447","Covered, Enclosed, Patio, Porch"
https://www.redfin.com/NV/Las-Vegas/5735-Eldora-Ave-89146/home/29539071,48,39,42,Dr. C Owen Roundy Elementary School,4,Kenny C Guinn Middle School,5,Education W Clark High School,3,"5735 Eldora Ave,Las Vegas,NV89146","$400,000",3,2,"1,604",,,1978,"Residential, Single Family Residence",One Story,,0.6 Acres,1,,"Carpet, Linoleum, Vinyl","Central, Electric","Central Air, Evaporative Cooling, Electric","$1,359","Enclosed, Patio"
https://www.redfin.com/NV/Las-Vegas/3236-Lindell-Rd-89146/home/29539945,72,40,51,Elaine Wynn Elementary School,3,Kenny C Guinn Middle School,5,Education W Clark High School,3,"3236 Lindell Rd,Las Vegas,NV89146","$415,000",3,2,"1,548",,,1979,"Residential, Single Family Residence",One Story,,"6,970 Sq. Ft.",3,,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric, Refrigerated","$1,367","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/5085-Via-de-Palma-Dr-89146/home/29540064,66,39,56,Dr. C Owen Roundy Elementary School,4,Kenny C Guinn Middle School,5,Education W Clark High School,3,"5085 Via De Palma Dr,Las Vegas,NV89146","$462,500",4,2,"2,025",,,1964,"Residential, Single Family Residence",One Story,,"6,534 Sq. Ft.",,"In Ground, Private","Carpet, Luxury Vinyl Plank","Central, Gas","Central Air, Electric",$854,"Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/3955-Glory-Ct-89103/home/29541009,64,41,50,C H Decker Elementary School,4,Kenny C Guinn Middle School,5,Education W Clark High School,3,"3955 Glory Ct,Las Vegas,NV89103","$578,000",4,3,"2,282",,,1980,"Residential, Single Family Residence",Two Story,,"8,276 Sq. Ft.",3,"Heated, In Ground, Private, Pool/Spa Combo","Hardwood, Tile","Central, Gas, High Efficiency","Central Air, Electric, High Efficiency, 2 Units","$1,833","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/3669-Redwood-St-89103/home/29543387,69,43,46,C H Decker Elementary School,4,Kenny C Guinn Middle School,5,Durango High School,2,"3669 Redwood St,Las Vegas,NV89103","$415,000",4,2,"1,622",,,1974,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",2,,Ceramic Tile,"Central, Electric","Central Air, Gas","$1,378",
https://www.redfin.com/NV/Las-Vegas/9342-W-Viking-Rd-89147/home/29552869,72,41,57,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"9342 W Viking Rd,Las Vegas,NV89147","$388,000",3,2,"1,291",,,1998,"Residential, Single Family Residence",One Story,,"4,356 Sq. Ft.",2,,Laminate,"Central, Gas","Central Air, Electric","$1,778",
https://www.redfin.com/NV/Las-Vegas/9222-Snow-Flower-Ave-89147/home/29553034,65,42,53,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"9222 Snow Flower Ave,Las Vegas,NV89147","$500,000",3,2,"1,832",,,1997,"Residential, Single Family Residence",One Story,,"6,970 Sq. Ft.",2,,"Hardwood, Tile","Central, Gas","Central Air, Electric","$1,953",Porch
https://www.redfin.com/NV/Las-Vegas/8965-Pomona-Ct-89147/home/29553637,57,42,44,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"8965 Pomona Ct,Las Vegas,NV89147","$505,000",4,2.5,"2,350",,,1995,"Residential, Single Family Residence",Two Story,,"6,098 Sq. Ft.",3,,"Carpet, Laminate","Central, Gas","Central Air, Electric","$2,132",
https://www.redfin.com/NV/Las-Vegas/3826-Windansea-St-89147/home/29553931,71,43,47,Patricia A Bendorf Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"3826 Windansea St,Las Vegas,NV89147","$620,000",3,2,"2,234",,,1994,"Residential, Single Family Residence",One Story,$45/month,"10,454 Sq. Ft.",3,,"Carpet, Tile","Central, Gas","Central Air, Electric","$2,299",
https://www.redfin.com/NV/Las-Vegas/10090-Diving-Duck-Ave-89117/home/29554864,49,33,49,Keith C & Karen W Hayes Elementary School,6,Victoria Fertitta Middle School,8,Spring Valley High School,5,"10090 Diving Duck Ave,Las Vegas,NV89117","$531,000",4,3,"2,445",,,1998,"Residential, Single Family Residence",Two Story,,"5,663 Sq. Ft.",3,,"Carpet, Laminate, Luxury Vinyl Plank","Central, Gas, Multiple Heating Units, Zoned","Central Air, Electric, 2 Units","$2,466","Covered, Patio, Porch"
https://www.redfin.com/NV/Las-Vegas/9740-Pine-Thickett-Ave-89147/home/29556165,55,38,56,Keith C & Karen W Hayes Elementary School,6,Victoria Fertitta Middle School,8,Spring Valley High School,5,"9740 Pine Thickett Ave,Las Vegas,NV89147","$547,500",5,3,"2,194",,,1996,"Residential, Single Family Residence",Two Story,,"6,098 Sq. Ft.",2,,"Carpet, Tile","Central, Gas","Central Air, Electric","$2,482",Patio
https://www.redfin.com/NV/Las-Vegas/9652-Camino-Capistrano-Ln-89147/home/29556938,59,40,56,Keith C & Karen W Hayes Elementary School,6,Victoria Fertitta Middle School,8,Spring Valley High School,5,"9652 Camino Capistrano Ln,Las Vegas,NV89147","$500,000",2,2,"2,335",,,1998,"Residential, Single Family Residence",One Story,$235/month,"8,712 Sq. Ft.",3,,"Carpet, Concrete","Central, Gas","Central Air, Electric","$2,657",Patio
https://www.redfin.com/NV/Las-Vegas/4210-Night-Star-St-89147/home/29557864,56,40,41,Keith C & Karen W Hayes Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"4210 Night Star St,Las Vegas,NV89147","$579,900",4,2,"2,106",,,1998,"Residential, Single Family Residence",One Story,,"10,454 Sq. Ft.",3,,"Ceramic Tile, Laminate, Luxury Vinyl Plank","Central, Gas, Solar","Central Air, Electric","$1,537","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/8501-W-University-Ave-89147/unit-2001/home/29560765,62,38,43,Roger M Bryan Elementary School,6,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"8501 W University Ave #2001,Las Vegas,NV89147","$260,000",2,2,"1,019",,,1998,Condo,Two Story,$190/month,2 Sq. Ft.,,Community,Laminate,"Central, Gas","Central Air, Electric",$894,Balcony
